Using master - a54d38b0ca7ccf8fbd44f5273486af8b58065af8 - 2022-06-22 06:07:56.463777

22/06/2022-06:07:56 [Main] Starting modules
22/06/2022-07:02:30 [flowmldetection] 	Training Score: 0.9998261776464453
22/06/2022-07:03:25 [flowmldetection] 	Training Score: 0.9998276753403412
22/06/2022-07:04:22 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:05:17 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:06:14 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:07:13 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:08:15 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:09:07 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:10:06 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:11:07 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:12:06 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:13:07 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:14:13 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:15:15 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:16:17 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:17:13 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:18:07 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:19:11 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:20:13 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:21:13 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:22:18 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:23:25 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:24:29 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:25:37 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:26:39 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:27:50 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:28:56 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:30:03 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:31:05 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:32:10 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:33:18 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:34:23 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:35:29 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:36:44 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:37:54 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:39:01 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:40:11 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:41:28 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:42:30 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:43:47 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:44:59 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:46:49 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:51:49 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:53:02 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:54:16 [flowmldetection] 	Training Score: 1.0
22/06/2022-07:55:22 [flowmldetection] 	Training Score: 1.0
